Date,Price,Open,High,Low,Vol.,Change %
2024-09-30,272.05,268.48,272.12,264.25,,0.0108
2024-10-01,263.78,269.73,271.27,261.55,,-0.0304
2024-10-02,256.45,265.45,267.45,255.85,,-0.0278
2024-10-03,254.3,257.42,258.5,251.4,,-0.0084
2024-10-04,254.95,253.28,257.73,252.05,,0.0026
2024-10-07,246.85,252.62,253.6,243.5,,-0.0318
2024-10-08,248.2,248.05,248.9,244.05,16060.0,0.0055
2024-10-09,250.05,247.75,252.9,246.6,14320.0,0.0075
2024-10-10,254.75,248.05,257.1,247.4,15930.0,0.0188
2024-10-11,252.05,254.25,256.45,251.0,13850.0,-0.0106
2024-10-14,262.05,251.05,262.65,250.3,16920.0,0.0397
2024-10-15,256.7,261.7,264.15,255.35,14780.0,-0.0204
2024-10-16,258.0,258.0,259.55,254.8,13090.0,0.0051
2024-10-17,255.15,257.1,261.0,253.4,13290.0,-0.011
2024-10-18,257.3,254.0,259.1,253.1,11060.0,0.0084
2024-10-21,251.7,253.5,254.05,248.05,16920.0,-0.0218
2024-10-22,249.85,252.5,255.7,248.55,17530.0,-0.0073
2024-10-23,252.35,249.25,253.85,247.4,15430.0,0.01
2024-10-24,245.45,251.9,256.1,244.1,21960.0,-0.0273
2024-10-25,248.4,245.85,248.75,244.4,15940.0,0.012
2024-10-28,252.35,247.25,255.65,246.25,17940.0,0.0159
2024-10-29,248.1,253.2,254.25,247.85,13580.0,-0.0168
2024-10-30,249.6,248.7,250.55,245.15,16870.0,0.006
2024-10-31,245.9,249.0,249.5,244.35,17380.0,-0.0148
2024-11-01,243.8,246.45,249.22,241.3,,-0.0085
